lanelet_id,way_id,boundary_type,node_id,sequence_order,local_x,local_y,elevation,latitude,longitude
14,9165,left,11,1,89660.3701,43128.8083,6.5,35.62579839633,139.78150047248
14,9165,left,1115,2,89660.442,43126.7651,6.5,35.62577998602,139.78150154582
14,9165,left,12,3,89660.509,43124.861,6.5,35.62576282906,139.78150254603
14,9165,left,1124,4,89660.1988,43123.595,6.5,35.62575138211,139.78149929431
14,9165,left,1119,5,89659.6648,43122.514,6.5,35.62574157783,139.78149354633
14,9165,left,1125,6,89658.7661,43121.4686,6.5,35.62573205374,139.78148376685
14,9749,left,1126,14,89649.6781,43116.3096,6.5,35.62568453309,139.78138413267
14,9749,left,16,15,89648.6402,43116.6203,6.5,35.62568721795,139.7813726308
14,9749,left,1128,16,89646.905,43116.9241,6.5,35.62568976273,139.78135343103
14,9167,right,8,1,89653.9564,43131.2322,6.5,35.62581953015,139.78142932763
14,9167,right,1166,2,89653.9083,43130.1375,6.5,35.62580965665,139.78142894632
14,9167,right,593,3,89653.8787,43129.4623,6.5,35.62580356678,139.78142871188
14,9167,right,1167,4,89653.5785,43128.3257,6.5,35.62579328741,139.78142555288
14,9167,right,1165,5,89653.0692,43127.3652,6.5,35.62578457213,139.78142006112
14,9167,right,594,6,89652.6234,43126.7927,6.5,35.62577936156,139.78141521739
14,9167,right,592,7,89651.7781,43125.7834,6.5,35.62577016885,139.78140602257
14,9167,right,1164,8,89651.0104,43125.0192,6.5,35.62576319425,139.78139765099
14,9167,right,1323,9,89650.1732,43124.5215,6.5,35.62575861424,139.78138847561
14,9167,right,15,10,89649.4596,43124.3081,6.5,35.62575661085,139.78138062599
14,9167,right,1168,11,89648.4018,43124.1967,6.5,35.62575548849,139.78136896214
14,9167,right,1324,12,89647.5372,43124.4318,6.5,35.62575751121,139.78135938398
1483,9114,left,1136,1,89631.0758,43123.4905,6.5,35.62574718706,139.7811777636
1483,9114,left,1137,2,89629.9659,43125.3204,6.5,35.62576355862,139.78116525889
1483,9114,left,1138,3,89628.6648,43127.4672,6.5,35.62578276551,139.78115059978
1483,9114,left,1139,4,89627.0138,43130.0758,6.5,35.62580609619,139.78113201426
1483,9114,left,1140,5,89625.1193,43132.9462,6.5,35.62583175964,139.78111070443
1483,9114,left,1141,6,89623.1689,43135.706,6.5,35.62585641985,139.78108879253
1483,9114,left,1142,7,89621.8171,43137.6276,6.5,35.625873591,139.78107360443
1483,9114,left,1143,8,89620.5968,43139.9483,6.5,35.62589437452,139.78105981359
1483,9114,left,1144,9,89618.4066,43143.7031,6.5,35.62592797731,139.78103511788
1483,9114,left,1145,10,89617.7493,43144.5923,6.5,35.62593591953,139.78102773898
1483,9114,left,1146,11,89617.1128,43145.4788,6.5,35.62594383973,139.78102059009
1483,9114,left,1147,12,89616.0385,43147.0511,6.5,35.62595789314,139.78100851363
1483,9114,left,1148,13,89615.0733,43148.5169,6.5,35.62597099869,139.7809976563
1483,9114,left,1149,14,89614.3003,43149.8639,6.5,35.6259830548,139.7809889373
1483,9114,left,1150,15,89613.8498,43150.8018,6.5,35.62599145912,139.780983835
1483,9114,left,1151,16,89613.228,43151.8145,6.5,35.62600051859,139.78097683114
1483,9116,right,1173,1,89636.975,43128.0381,6.5,35.62578884023,139.78124227404
1483,9116,right,1174,2,89635.7541,43129.9285,6.5,35.62580574478,139.78122853552
1483,9116,right,1175,3,89634.486,43131.8999,6.5,35.62582337423,139.78121426477
1483,9116,right,1176,4,89633.0198,43134.0843,6.5,35.62584290162,139.78119777766
1483,9116,right,1177,5,89631.6166,43136.3632,6.5,35.62586328792,139.78118197319
1483,9116,right,1178,6,89629.8394,43139.1876,6.5,35.62588854982,139.78116196476
1483,9116,right,1179,7,89627.3175,43143.1404,6.5,35.62592390044,139.78113357971
1483,9116,right,1180,8,89625.6871,43145.63,6.5,35.62594616069,139.78111523787
1483,9116,right,1181,9,89624.1793,43148.1448,6.5,35.6259686618,139.7810982462
1483,9116,right,1182,10,89623.381,43149.4681,6.5,35.62598050145,139.78108925112
1483,9116,right,1183,11,89623.0163,43150.0206,6.5,35.62598544119,139.78108514888
1483,9116,right,1184,12,89621.9726,43151.5909,6.5,35.62599947999,139.78107341054
1483,9116,right,1185,13,89620.6687,43153.6975,6.5,35.62601832417,139.78105872596
1483,9116,right,1186,14,89619.4241,43155.5519,6.5,35.62603490153,139.7810447306
2256,2259,left,2250,1,89621.2873,43189.8181,6.5,35.62634400098,139.78106061302
2256,2259,left,479,2,89623.4225,43191.2812,6.5,35.62635742859,139.78108398758
2256,2259,left,1048,3,89624.7226,43191.9947,6.5,35.62636400566,139.78109824436
2256,2259,left,41,4,89625.7822,43192.448,6.5,35.6263682103,139.78110988139
2256,2259,left,1047,5,89626.8558,43192.8391,6.5,35.6263718558,139.78112168151
2256,2259,left,483,6,89628.2198,43193.0578,6.5,35.62637397965,139.78113671152
2256,2259,left,1049,7,89630.0291,43192.8845,6.5,35.62637261958,139.78115671175
2256,2259,left,481,8,89631.3612,43192.7221,6.5,35.62637130445,139.7811714417
2256,2259,left,1050,9,89632.6624,43192.2525,6.5,35.62636721662,139.78118587253
2256,2259,left,484,10,89634.0403,43191.5841,6.5,35.62636134529,139.7812011774
2256,2259,left,1051,11,89635.7035,43190.2864,6.5,35.62634983303,139.78121971837
2256,2259,left,480,12,89636.8337,43188.9262,6.5,35.62633769781,139.78123238304
2256,2259,left,1052,13,89637.6644,43187.7107,6.5,35.62632683354,139.78124172111
2256,2259,left,485,14,89638.6675,43186.2065,6.5,35.62631338604,139.78125300216
2256,2259,left,1057,15,89639.7611,43184.5182,6.5,35.62629828909,139.7812653076
2256,2259,left,1054,16,89640.7171,43183.8212,6.5,35.62629211281,139.78127595816
2256,2259,left,486,17,89641.7903,43183.6069,6.5,35.62629030089,139.78128783669
2256,2259,left,1055,18,89642.6806,43183.6971,6.5,35.62629121345,139.78129765416
2256,2259,left,32,19,89643.9383,43183.9614,6.5,35.62629373646,139.78131150427
2256,2259,left,1056,20,89644.5669,43184.2767,6.5,35.62629664894,139.7813184015
2256,2259,left,487,21,89645.2942,43184.7449,6.5,35.62630095075,139.78132636757
2256,2259,left,490,22,89646.2357,43185.4251,6.5,35.62630718755,139.78133666962
2256,2259,left,1058,23,89647.858,43186.5845,6.5,35.62631782013,139.78135442282
2256,2259,left,1059,24,89651.2097,43188.7436,6.5,35.62633765763,139.78139113359
2256,2259,left,488,25,89653.5262,43190.2358,6.5,35.62635136775,139.78141650595
2256,2259,left,489,26,89655.97,43191.7475,6.5,35.62636526787,139.78144328118
2256,2259,left,1060,27,89657.0868,43192.5939,6.5,35.62637302245,139.781455496
2256,2259,left,1061,28,89658.4252,43193.0886,6.5,35.62637763139,139.78147020562
2256,2259,left,42,29,89660.3646,43193.0885,6.5,35.62637784709,139.78149161858
2256,2259,left,1062,30,89661.6473,43192.8586,6.5,35.62637591793,139.78150581234
2256,2259,left,1063,31,89662.8409,43192.2026,6.5,35.62637013775,139.78151908064
2256,2259,left,492,32,89663.777,43191.1219,6.5,35.62636050037,139.78152956396
2256,2259,left,1064,33,89664.8473,43189.5674,6.5,35.62634660693,139.7815415938
2256,2259,left,491,34,89666.1477,43187.5895,6.5,35.62632892246,139.78155622209
2256,2259,left,1065,35,89667.5855,43185.3017,6.5,35.62630845975,139.7815724098
2256,2259,left,493,36,89668.7383,43183.2955,6.5,35.62629050368,139.78158541229
2256,2259,left,1066,37,89669.1966,43182.0251,6.5,35.62627910289,139.78159064616
2256,2259,left,43,38,89669.3037,43180.8989,6.5,35.62626896277,139.78159198269
2256,2259,left,1067,39,89668.9775,43179.6604,6.5,35.62625776193,139.78158855053
2256,2259,left,495,40,89668.4758,43178.5936,6.5,35.62624808927,139.78158315718
2256,2259,left,1068,41,89667.8359,43177.6633,6.5,35.62623963165,139.7815762193
2256,2259,left,494,42,89666.6932,43176.3842,6.5,35.62622797364,139.78156377771
2256,2259,left,1069,43,89665.8224,43175.736,6.5,35.62622203321,139.78155425188
2256,2259,left,496,44,89664.8966,43175.0495,6.5,35.62621574139,139.78154412403
2256,2259,left,47,45,89663.1231,43173.9713,6.5,35.62620582393,139.78152469032
2256,2259,left,1070,46,89661.5168,43173.0549,6.5,35.62619738367,139.78150708053
2256,2259,left,499,47,89659.7796,43172.0639,6.5,35.62618825632,139.78148803568
2256,2259,left,1071,48,89658.0359,43171.2174,6.5,35.62618043083,139.7814688993
2256,2259,left,497,49,89656.1405,43170.5074,6.5,35.62617381886,139.78144806934
2256,2259,left,1073,50,89654.6598,43170.3871,6.5,35.62617256904,139.7814317374
2256,2259,left,1072,51,89653.3362,43170.2091,6.5,35.62617081663,139.7814171479
2256,2259,left,498,52,89651.9605,43170.1154,6.5,35.62616981832,139.78140197163
2256,2259,left,1074,53,89650.3033,43169.9097,6.5,35.62616777894,139.78138370265
2256,2259,left,48,54,89649.3881,43169.6665,6.5,35.6261654844,139.78137363121
2256,2259,left,501,55,89648.3945,43168.9263,6.5,35.62615870091,139.78136276215
2256,2259,left,500,56,89648.2161,43168.3662,6.5,35.62615363198,139.78136086906
2256,2259,left,502,57,89648.4254,43167.0006,6.5,35.62614134521,139.78136336677
2256,2259,left,1077,58,89649.3849,43166.2975,6.5,35.62613511432,139.78137405678
2256,2259,left,504,59,89650.2761,43166.0865,6.5,35.62613331181,139.78138392538
2256,2259,left,1078,60,89652.123,43165.2829,6.5,35.62612627408,139.7814044269
2256,2259,left,2257,61,89652.8833,43164.9766,6.5,35.62612359788,139.78141286327
2256,2261,right,2251,1,89625.5691,43183.2153,6.5,35.62628495869,139.78110879195
2256,2261,right,1238,2,89625.584,43183.2249,6.5,35.62628504689,139.78110895514
2256,2261,right,550,3,89626.7122,43183.9357,6.5,35.62629158041,139.78112131434
2256,2261,right,1240,4,89627.3771,43184.4477,6.5,35.6262962701,139.78112858544
2256,2261,right,1242,5,89628.2794,43185.1662,6.5,35.6263028478,139.78113844942
2256,2261,right,1243,6,89629.2731,43185.4585,6.5,35.62630559374,139.78114938087
2256,2261,right,1245,7,89630.4754,43185.2478,6.5,35.62630382871,139.78116268431
2256,2261,right,552,8,89631.4828,43184.3341,6.5,35.62629570474,139.78117393204
2256,2261,right,1248,9,89632.1877,43182.9499,6.5,35.62628330568,139.78118190424
2256,2261,right,1249,10,89632.9211,43181.4004,6.5,35.6262694197,139.78119021373
2256,2261,right,553,11,89633.3825,43180.5095,6.5,35.62626144026,139.78119542995
2256,2261,right,1250,12,89634.0911,43179.534,6.5,35.62625272582,139.78120338708
2256,2261,right,66,13,89635.0373,43178.7556,6.5,35.62624581467,139.78121394058
2256,2261,right,1252,14,89636.3359,43177.7929,6.5,35.62623728152,139.78122841014
2256,2261,right,554,15,89637.4866,43177.4448,6.5,35.62623427213,139.78124116265
2256,2261,right,1253,16,89638.6964,43177.0918,6.5,35.62623122517,139.78125456834
2256,2261,right,65,17,89640.1858,43176.9552,6.5,35.62623016017,139.78127103149
2256,2261,right,1254,18,89641.5741,43176.9475,6.5,35.62623024584,139.78128636076
2256,2261,right,1255,19,89642.9469,43177.0022,6.5,35.62623089228,139.78130151035
2256,2261,right,556,20,89644.4725,43177.2961,6.5,35.62623371205,139.78131831429
2256,2261,right,1256,21,89645.8257,43177.5679,6.5,35.62623631334,139.78133321778
2256,2261,right,1257,22,89647.4289,43178.0001,6.5,35.62624038846,139.78135085957
2256,2261,right,555,23,89648.9592,43178.4857,6.5,35.62624493682,139.78136768918
2256,2261,right,1258,24,89649.8766,43178.8669,6.5,35.62624847561,139.78137776604
2256,2261,right,1259,25,89651.0111,43179.4431,6.5,35.62625379646,139.78139021322
2256,2261,right,1260,26,89652.2678,43180.1871,6.5,35.62626064359,139.78140398667
2256,2261,right,557,27,89653.4728,43181.0823,6.5,35.62626884792,139.7814171686
2256,2261,right,1261,28,89654.5443,43181.9093,6.5,35.62627642256,139.7814288859
2256,2261,right,1262,29,89655.3275,43182.5667,6.5,35.62628243615,139.78143744328
2256,2261,right,1263,30,89656.0033,43183.1727,6.5,35.62628797439,139.78144482189
2256,2261,right,57,31,89656.837,43183.8298,6.5,35.62629399091,139.78145393688
2256,2261,right,1265,32,89657.9012,43184.3307,6.5,35.62629862511,139.7814656182
2256,2261,right,1266,33,89658.7756,43184.2819,6.5,35.62629828287,139.78147527913
2256,2261,right,558,34,89659.8638,43183.4191,6.5,35.62629062673,139.78148741198
2256,2261,right,1269,35,89660.1525,43181.7532,6.5,35.62627564179,139.78149082741
2256,2261,right,64,36,89660.0042,43181.0438,6.5,35.62626923036,139.78148928707
2256,2261,right,562,37,89658.8994,43180.1271,6.5,35.62626084342,139.78147721437
2256,2261,right,1271,38,89657.7105,43179.5059,6.5,35.62625511084,139.78146417271
2256,2261,right,1272,39,89656.9676,43179.1782,6.5,35.62625207383,139.78145601518
2256,2261,right,561,40,89656.1372,43178.6837,6.5,35.62624752343,139.78144691438
2256,2261,right,1273,41,89655.3219,43178.1274,6.5,35.62624241762,139.78143798876
2256,2261,right,563,42,89654.3098,43177.4369,6.5,35.6262360801,139.78142690862
2256,2261,right,1274,43,89652.9351,43176.8122,6.5,35.62623029522,139.78141181603
2256,2261,right,58,44,89651.7407,43176.4758,6.5,35.62622712934,139.78139867468
2256,2261,right,1275,45,89650.7344,43176.3329,6.5,35.62622572878,139.78138758368
2256,2261,right,565,46,89649.5091,43176.2117,6.5,35.62622449936,139.78137407173
2256,2261,right,564,47,89648.324,43176.1008,6.5,35.62622336728,139.78136100222
2256,2261,right,566,48,89646.7063,43175.9769,6.5,35.62622206969,139.78134315815
2256,2261,right,1276,49,89645.6129,43175.8347,6.5,35.6262206657,139.78133110538
2256,2261,right,59,50,89644.6113,43175.4674,6.5,35.62621724281,139.78132009697
2256,2261,right,1277,51,89643.9452,43174.9976,6.5,35.62621293341,139.78131280684
2256,2261,right,568,52,89643.0496,43174.366,6.5,35.62620713984,139.78130300494
2256,2261,right,567,53,89641.5739,43172.3986,6.5,35.62618923994,139.78128698092
2256,2261,right,569,54,89640.7591,43169.9325,6.5,35.62616691836,139.78127832214
2256,2261,right,1279,55,89640.5702,43168.7164,6.5,35.62615593478,139.78127640288
2256,2261,right,60,56,89640.5294,43167.6824,6.5,35.62614660927,139.78127609388
2256,2261,right,1278,57,89640.7049,43166.2885,6.5,35.62613406361,139.78127822228
2256,2261,right,571,58,89641.0803,43164.93,6.5,35.6261218594,139.78128255294
2256,2261,right,1281,59,89641.4382,43164.0589,6.5,35.62611404689,139.78128662369
2256,2261,right,570,60,89641.9595,43163.2508,6.5,35.62610682053,139.78129248991
2256,2261,right,1280,61,89642.3959,43162.4319,6.5,35.62609948734,139.78129742023
2256,2261,right,572,62,89643.1937,43161.5376,6.5,35.62609151483,139.78130635108
2256,2261,right,61,63,89644.6194,43160.5758,6.5,35.62608300397,139.78132222379
2256,2261,right,574,64,89649.1205,43158.6549,6.5,35.62606619087,139.78137218312
2256,2261,right,2258,65,89650.1544,43158.1744,6.5,35.6260619749,139.78138366412
2263,9147,left,2257,1,89652.8833,43164.9766,6.5,35.62612359788,139.78141286327
2263,9147,left,503,2,89653.9062,43164.5645,6.5,35.62611999727,139.78142421346
2263,9147,left,1079,3,89655.0878,43164.2446,6.5,35.62611724552,139.78143730325
2263,9147,left,1080,4,89655.9399,43163.8989,6.5,35.62611422439,139.78144675856
2263,9147,left,505,5,89657.1297,43163.3433,6.5,35.62610934885,139.78145997113
2263,9147,left,1081,6,89657.8998,43162.9551,6.5,35.62610593545,139.78146852689
2263,9147,left,1082,7,89659.3699,43162.8238,6.5,35.62610491604,139.78148477619
2263,9147,left,1083,8,89660.2126,43163.6576,6.5,35.62611252642,139.78149396637
2263,9147,left,1084,9,89660.4521,43164.5047,6.5,35.62612018932,139.7814964948
2263,9147,left,508,10,89660.1458,43165.1604,6.5,35.62612606589,139.78149302326
2263,9147,left,44,11,89659.391,43165.8863,6.5,35.62613252518,139.78148459022
2263,9147,left,1090,12,89659.0692,43166.5817,6.5,35.6261387579,139.7814809421
2263,9147,left,1087,13,89658.6559,43167.5912,6.5,35.62614781184,139.78147624077
2263,9147,left,1086,14,89658.6024,43168.7477,6.5,35.62615823109,139.78147549187
2263,9147,left,1088,15,89658.9419,43169.5865,6.5,35.62616583033,139.78147912554
2263,9147,left,1089,16,89659.7037,43170.1248,6.5,35.6261707679,139.78148746293
2263,9147,left,510,17,89660.2621,43170.5582,6.5,35.62617473714,139.78149356893
2263,9147,left,1091,18,89662.4456,43171.978,6.5,35.62618777973,139.78151748271
2263,9147,left,509,19,89663.9832,43172.9778,6.5,35.62619696412,139.78153432258
2263,9147,left,1092,20,89665.2192,43173.6729,6.5,35.62620336811,139.78154787416
2263,9147,left,511,21,89666.8255,43174.5763,6.5,35.62621169117,139.78156548573
2263,9147,left,1093,22,89667.7605,43174.9379,6.5,35.62621505522,139.7815757596
2263,9147,left,1094,23,89668.9721,43175.1022,6.5,35.6262166716,139.7815891144
2263,9147,left,45,24,89670.4846,43174.9868,6.5,35.62621580025,139.78160582969
2263,9149,right,2258,1,89650.1544,43158.1744,6.5,35.6260619749,139.78138366412
2263,9149,right,573,2,89652.7415,43156.9719,6.5,35.62605142398,139.78141239273
2263,9149,right,575,3,89655.3875,43156.0205,6.5,35.62604314316,139.78144173729
2263,9149,right,1282,4,89657.431,43155.529,6.5,35.62603894079,139.78146436675
2263,9149,right,62,5,89659.3758,43155.451,6.5,35.62603845488,139.7814858499
2263,9149,right,1283,6,89660.8999,43155.7623,6.5,35.6260414313,139.78150263486
2263,9149,right,576,7,89662.5105,43156.3568,6.5,35.62604697028,139.78152033613
2263,9149,right,1284,8,89663.9758,43157.1656,6.5,35.62605442483,139.78153640383
2263,9149,right,63,9,89665.2694,43158.3759,6.5,35.6260654795,139.78155052088
2263,9149,right,1285,10,89666.6089,43160.1524,6.5,35.62608164329,139.78156506726
2263,9149,right,577,11,89667.1722,43161.7026,6.5,35.62609568042,139.7815710746
2263,9149,right,1286,12,89667.4308,43162.5182,6.5,35.62610306149,139.78157381823
2263,9149,right,1299,13,89667.5768,43163.2919,6.5,35.62611005228,139.78157532438
2263,9149,right,1287,14,89667.5275,43164.1154,6.5,35.62611747019,139.78157466742
2263,9149,right,1298,15,89667.3854,43164.7681,6.5,35.62612333806,139.78157300922
2263,9149,right,578,16,89667.2341,43165.6394,6.5,35.62613117546,139.78157121953
2263,9149,right,1296,17,89667.2704,43166.3764,6.5,35.62613782317,139.78157151951
2263,9149,right,1291,18,89667.7799,43167.3894,6.5,35.62614701172,139.78157700633
2263,9149,right,67,19,89668.8152,43167.8499,6.5,35.6261512785,139.78158837407
2263,9149,right,1292,20,89669.7514,43167.946,6.5,35.62615224935,139.7815986975
9118,9119,left,1151,1,89613.228,43151.8145,6.5,35.62600051859,139.78097683114
9118,9119,left,1152,2,89610.1174,43156.728,6.5,35.62604446357,139.78094181467
9118,9119,left,1153,3,89609.6751,43157.5681,6.5,35.6260519872,139.78093681628
9118,9119,left,20,4,89609.1719,43158.4288,6.5,35.62605968972,139.78093114267
9118,9119,left,458,5,89608.6178,43160.7543,6.5,35.62608059093,139.7809247066
9118,9119,left,456,6,89608.7082,43163.4473,6.5,35.62610487697,139.78092533615
9118,9119,left,457,7,89609.3983,43165.7638,6.5,35.62612583608,139.78093263849
9118,9119,left,38,8,89610.8274,43167.8585,6.5,35.62614487835,139.78094813048
9118,9119,left,460,9,89611.5567,43168.6561,6.5,35.62615214977,139.78095607352
9118,9119,left,459,10,89613.0761,43169.7506,6.5,35.62616218587,139.7809726994
9118,9119,left,461,11,89614.948,43170.662,6.5,35.6261706108,139.7809932423
9118,9119,left,37,12,89616.8206,43171.1074,6.5,35.62617483507,139.7810138567
9118,9119,left,463,13,89618.6839,43171.0665,6.5,35.62617467457,139.78103443496
9118,9119,left,462,14,89620.6261,43170.8405,6.5,35.6261728543,139.7810559097
9118,9119,left,998,15,89621.8027,43170.434,6.5,35.62616932138,139.78106895615
9118,9119,left,464,16,89622.8698,43169.6271,6.5,35.62616216683,139.7810808484
9118,9119,left,997,17,89623.9906,43168.7676,6.5,35.62615454412,139.78109334075
9118,9121,right,1186,1,89619.4241,43155.5519,6.5,35.62603490153,139.7810447306
9118,9121,right,1187,2,89616.8091,43159.7327,6.5,35.62607229701,139.78101528634
9118,9121,right,19,3,89616.1222,43160.9913,6.5,35.62608356586,139.78100753005
9118,9121,right,534,4,89616.2023,43161.9083,6.5,35.62609184107,139.78100828895
9118,9121,right,533,5,89616.8087,43162.994,6.5,35.62610169582,139.78101483562
9118,9121,right,535,6,89617.7219,43163.3925,6.5,35.62610539012,139.7810248637
9118,9121,right,21,7,89618.9245,43162.9003,6.5,35.62610108757,139.78103820894
9123,9124,left,997,1,89623.9906,43168.7676,6.5,35.62615454412,139.78109334075
9123,9124,left,22,2,89624.661,43167.9154,6.5,35.6261469369,139.78110085924
9123,9124,left,999,3,89625.8452,43166.278,6.5,35.62613230892,139.78111415804
9123,9124,left,1001,4,89626.609,43165.0964,6.5,35.62612174277,139.78112275282
9123,9124,left,1002,5,89628.198,43162.6579,6.5,35.62609993853,139.78114063061
9123,9124,left,1003,6,89630.1101,43159.3518,6.5,35.62607034944,139.78116219445
9123,9124,left,1004,7,89631.8708,43156.5609,6.5,35.62604538768,139.78118201617
9123,9124,left,1005,8,89632.7446,43154.8708,6.5,35.62603024996,139.78119189502
9123,9124,left,1006,9,89634.2035,43151.9188,6.5,35.62600380225,139.7812084066
9123,9124,left,1007,10,89635.1363,43150.1666,6.5,35.62598811132,139.78121894536
9123,9124,left,1008,11,89636.5526,43147.4433,6.5,35.62596372046,139.78123495528
9123,9124,left,1009,12,89637.7706,43145.3369,6.5,35.62594486846,139.78124869137
9123,9124,left,1010,13,89639.107,43143.3702,6.5,35.625927289,139.78126371559
9123,9126,right,21,1,89618.9245,43162.9003,6.5,35.62610108757,139.78103820894
9123,9126,right,1193,2,89619.5085,43162.1521,6.5,35.6260944082,139.78104475926
9123,9126,right,1194,3,89619.9478,43161.3032,6.5,35.6260868049,139.78104972573
9123,9126,right,1195,4,89621.4884,43158.7363,6.5,35.62606383781,139.78106708671
9123,9126,right,1196,5,89622.8006,43156.6754,6.5,35.62604540652,139.78108185669
